project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
APEC - Enhancing Aviation Connectivity and Emissions Reduction via Implementation of Performance-Based Navigation (PBN) Assistance Program,TPT 05 2015A,2015,Transportation Working Group (TPTWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"188,192","33,300","221,492",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Energy Working Group (EWG),Indonesia; Mexico; Thailand,US Federal Aviation Administration,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13014
"Attracting Private Investment to Transportation Infrastructure Public-Private Partnerships (PPPs): Training APEC Economies to Better-Package “Bankable Projects""",TPT 03 2015,2015,Transportation Working Group (TPTWG),United States,Completed Project,General Project Account,None,Session 2,"65,000","209,045","274,045",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; China; Korea; New Zealand; Philippines; Chinese Taipei,US Department of Transportation,"US-ATAARI Project, Nathan Associates",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12956
"Facilitating Innovative Economic Development of ""Internet + Service Industry""",TEL 01 2015A,2015,Telecommunications and Information Working Group (TELWG),China,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"94,979","11,650","106,629",,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Brunei Darussalam; Hong Kong, China; Japan; New Zealand; Papua New Guinea; Russia; Chinese Taipei; Viet Nam","China Academy of Telecommunication Research, Ministry of Industry and Information Technology",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12963
New Era of Growth for APEC SMEs through Online-to-Offline (O2O) Business Models,SME 02 2015,2015,Small and Medium Enterprises Working Group (SMEWG),Philippines; Chinese Taipei,Completed Project,General Project Account,None,Session 1,"138,628","156,098","294,726",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Brunei Darussalam; China; Hong Kong, China; Indonesia; Japan; Korea; Malaysia; Peru; Singapore; Thailand; United States","Small and Medium Enterprise Administration, Ministry of Economic Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12864
Successful Cases of Women-Owned Small and Medium Enterprises (SMEs) in Foreign Trade,PPWE 01 2015A,2015,Policy Partnership on Women and the Economy (PPWE),Chile,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"145,216","25,000","170,216",,Gender,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Mexico; Peru; Philippines; Chinese Taipei,Ministry of Foreign Affairs,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12949
Systematic Design of Green Skills Development in Technical and Vocational Education and Training (TVET),HRD 01 2014A,2014,Human Resource Development Working Group (HRDWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"199,999","13,400","213,399",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Indonesia; Malaysia; Papua New Guinea; Russia; Chinese Taipei; Thailand,"Department of International Cooperation and Exchange, Ministry of Education",Central Institute for Vocational and Technical Education,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12538
Long-Term Reliability Study of Photovoltaic (PV) Systems for Installation on Islands,EWG 21 2015A,2015,Energy Working Group (EWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"130,000","20,000","150,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Thailand,"Bureau of Energy, Ministry of Economic Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12967
2017 Energy Smart Communities Initiative (ESCI) Best Practices Awards Program,EWG 04 2016S,2016,Energy Working Group (EWG),Chinese Taipei; United States,Completed Project,Self-Funded,,,,,,"$30,000.00",Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,National Development Council,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13330
Workshop on Improving Energy Resiliency in Off-Grid Areas in APEC Member Economies,EWG 09 2015A,2015,Energy Working Group (EWG),Philippines,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"100,070","184,524","284,594",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Japan; Chinese Taipei; Thailand; United States,Department of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12820
"Establishing Lighting Best Practices and Educational Programs to Achieve Deep Energy Saving, An APEC Regional Collaboration with University Lighting Centers and Research Institutions",EWG 06 2015A,2015,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"79,986","40,030","120,016",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Brunei Darussalam; Canada; China; Japan; New Zealand; Philippines; Chinese Taipei; Thailand,Pacific Northwest National Laboratory,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12818
APEC Low-Carbon Model Town (LCMT) Project - Phase 6,EWG 01 2015A,2015,Energy Working Group (EWG),Japan; China; Korea; Singapore; Chinese Taipei; United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"578,393","137,121","715,514",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Brunei Darussalam; Canada; Chile; Hong Kong, China; Indonesia; Malaysia; Mexico; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Thailand; Viet Nam","Ministry of Economy, Trade and Industry (METI)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12810
APEC Nearly (Net) Zero Energy Building Best Practices and Energy Reduction Results Comparative Study,EWG 02 2015A,2015,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"148,000","60,800","208,800",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Brunei Darussalam; Canada; Chile; Hong Kong, China; Indonesia; Japan; Korea; Malaysia; Mexico; New Zealand; Peru; Philippines; Russia; Chinese Taipei; Thailand; United States","Institute of Building Environment and Energy, China Academy of Building Research",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12815
Oil and Gas Security Initiative: 2016,EWG 01 2016S,2016,Energy Working Group (EWG),Japan,Completed Project,Self-Funded,,,,,,"$617,232.00",Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Philippines; Chinese Taipei; Thailand; United States,"Ministry of Economy, Trade and Industry (METI)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13041
Developing Regulatory Impact Assessment (RIA) Guidelines as an Anti-Corruption Tool,EC 08 2014A,2014,Economic Committee (EC),Thailand,Completed Project,APEC Support Fund,ASF: APEC's New Strategy on Structural Reform (ANSSR),Session 2,"189,755","97,310","287,065",,Structural Reform,Economic Committee (EC),,Malaysia; Mexico,"Office of the Permanent Secretary, Ministry of Justice",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12699
Developing A Policy for Ports Industry of Papua New Guinea,EC 10 2014A,2014,Economic Committee (EC),Papua New Guinea,Completed Project,APEC Support Fund,ASF: APEC's New Strategy on Structural Reform (ANSSR),Session 2,"141,710","11,729","153,439",,Structural Reform,Economic Committee (EC),,Australia; Philippines,Independent Consumer and Competition Commission (ICCC),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12700
APEC Public-Private Dialogue on Services,CTI 03 2016A,2016,Group on Services (GOS),Viet Nam,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"125,150","16,250","141,400",,Services Trade,Committee on Trade and Investment (CTI),,Australia; China; Indonesia; Japan; Philippines; Singapore,"Multilateral Trade Policy Department, Ministry of Industry and Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13131
Guidebook for SMEs' IP-Business Cycle,CTI 16 2015T,2015,Intellectual Property Rights Experts Group (IPEG),Korea,Completed Project,TILF Special Account,None,Session 2,"100,000","150,000","250,000",,Intellectual Property,Committee on Trade and Investment (CTI),,"Chile; Hong Kong, China; Japan; Mexico; Peru; Philippines; Russia; Chinese Taipei",Korean Intellectual Property Office (KIPO),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12941
Best Practices on Critical Issues in the Asia-Pacific Region for the Implementation of WTO Trade Facilitation Agreement,CTI 12 2015A,2015,Committee on Trade and Investment (CTI),Peru,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"134,117",0,"134,117",,Trade Facilitation,Committee on Trade and Investment (CTI),,Malaysia; Mexico; Philippines; Singapore; United States,Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12918
"Supporting Micro, Small and Medium-Sized Enterprises (MSMEs) Trade Facilitation through Standardization Activities",CTI 13 2015A,2015,Sub-Committee on Standards and Conformance (SCSC),Peru,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"99,147","16,900","116,047",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Japan; Mexico; Philippines; Singapore,National Institute for Quality (INACAL),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12944
The APEC Services Trade Access Requirements (STAR) Database - Phase 4,CTI 03 2014,2014,Group on Services (GOS),Australia,Completed Project,Operational Account,None,Session 1,"104,500","87,000","191,500",,Services Trade,Committee on Trade and Investment (CTI),,"Chile; Hong Kong, China; Indonesia; Peru; Philippines; United States",Department of Foreign Affairs and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12592
APEC Capacity Building Workshop on FTA Negotiation Skills on Intellectual Property - Phase 2,CTI 05 2016,2016,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,General Project Account,None,Session 1,"136,150","26,750","162,900",,Trade Facilitation,Committee on Trade and Investment (CTI),,Indonesia; Korea; New Zealand; United States,Ministry of Industry and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13086
11th Conference on Standards and Conformance,CTI 20 2015T,2015,Sub-Committee on Standards and Conformance (SCSC),Peru,Completed Project,TILF Special Account,None,Session 2,"99,155","25,702","124,857",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Japan; Mexico; Philippines,National Institute for Quality (INACAL),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12946
Study on Enhancement of Integration of Regional Value Chains in Asia and Latin America and the Caribbean (LAC),CTI 08 2015T,2015,Committee on Trade and Investment (CTI),Japan; Peru,Completed Project,TILF Special Account,None,Session 1,"195,000",0,"195,000",,Trade Facilitation,Committee on Trade and Investment (CTI),,Australia; Chile; Malaysia; Mexico; Philippines; Chinese Taipei; Thailand,Ministry of Foreign Affairs,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12775
Workshop on Promoting Trade in Products which Contribute to Sustainable and Inclusive Growth through Rural Development and Poverty Alleviation,CTI 33 2016T,2016,Committee on Trade and Investment (CTI),Indonesia,Completed Project,TILF Special Account,None,Session 2,"100,000","25,985","125,985",,Trade Facilitation,Committee on Trade and Investment (CTI),,Brunei Darussalam; Papua New Guinea; Peru; Viet Nam,"Directorate of APEC and International Organisations, Ministry of Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13222
Use of International Instruments to Strengthen Contract Enforcement in Supply Chain Finance for Global Businesses (including MSMEs),EC 04 2016S,2016,Economic Committee (EC),"Hong Kong, China",Completed Project,Self-Funded,,,,,,$0.00,Structural Reform,Economic Committee (EC),,,Department of Justice,Department of Justice,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13258
APEC Pathfinder Dialogue IV,ACT 01 2017S,2017,Anti-Corruption and Transparency Experts Working Group (ACTWG),United States,Completed Project,Self-Funded,,,,,,$0.00,Anti-Corruption,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Viet Nam,"American Bar Association, Rule of Law Initiative",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13553
Driving from 1G to 5B,HLPDAB 01 2017S,2017,High Level Policy Dialogue on Agricultural Biotechnology (HLPDAB),United States,Completed Project,Self-Funded,,,,,,"$135,128.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Foreign Agricultural Service, US",US-APEC Technical Assistance to Advance Regional Integration (US-ATAARI),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13540
Seminar on Investigative Powers of Competition Agencies,CPLG 01 2016A,2016,Competition Policy and Law Group (CPLG),Peru,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"99,968","23,220","123,188",,Competition Policy; Deregulation,Economic Committee (EC),,Japan; Philippines; Singapore; United States; Viet Nam,INDECOPI,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13161
Mentoring Trainers in Viet Nam to Deliver Sustainable Education to Prevent Emerging Animal Diseases and Food Safety Concerns Threatening Aquaculture Development- a Joint Food Safety Cooperation Forum Partnership Training Institute Network (FSCF PTIN)and W,SCSC 03 2017S,2017,Sub-Committee on Standards and Conformance (SCSC),United States; New Zealand,Completed Project,Self-Funded,,,,,,"$36,748.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Chinese Taipei; Viet Nam,US Food and Drug Administration,US Department of Commerce,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13670
Workshop on Sharing Rural Development Experiences for Food Security and Quality Growth,PPFS 03 2017S,2017,Policy Partnership on Food Security (PPFS),Korea,Completed Project,Self-Funded,,,,,,"$90,000.00",Food Security,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Indonesia; Papua New Guinea; Peru; Chinese Taipei; Thailand; Viet Nam,"Regional Economic Organization, Ministry of Foreign Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13534
